# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalPagesRequested,1714403406396000000,1714403466418000000,0
FilePageCache.capacityInBytes,1714403406396000000,1714403466418000000,503316478
FilePageCache.maxCacheSizeInBytes,1714403406396000000,1714403466418000000,252731392
FilePageCacheLockFree.totalBytesWritten,1714403406396000000,1714403466418000000,0
FilePageCache.pageFastCacheHits,1714403406396000000,1714403466418000000,14819
FilePageCacheLockFree.totalBytesRead,1714403406396000000,1714403466418000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1714403406396000000,1714403466418000000,0
FilePageCache.totalPageDisposalsUs,1714403406396000000,1714403466418000000,1175
FilePageCacheLockFree.totalNativeBytesReclaimed,1714403406396000000,1714403466418000000,0
FilePageCache.maxRegisteredFiles,1714403406396000000,1714403466418000000,457
FilePageCacheLockFree.nativeBytesInUse,1714403406396000000,1714403466418000000,0
StreamlinedBlobStorage.recordsAllocated,1714403406396000000,1714403466418000000,223774
FilePageCacheLockFree.totalPagesWritten,1714403406396000000,1714403466418000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1714403406396000000,1714403466418000000,0
DirectByteBufferAllocator.misses,1714403406396000000,1714403466418000000,244
FilePageCacheLockFree.housekeeperTurnsDone,1714403406396000000,1714403466418000000,0
FilePageCache.pageHits,1714403406396000000,1714403466418000000,19
FilePageCache.pageLoadsAboveSizeThreshold,1714403406396000000,1714403466418000000,0
FilePageCacheLockFree.totalBytesRequested,1714403406396000000,1714403466418000000,0
FilePageCacheLockFree.totalPagesWriteMs,1714403406396000000,1714403466418000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1714403406396000000,1714403466418000000,0
FilePageCache.totalPageLoadsUs,1714403406396000000,1714403466418000000,434670
StreamlinedBlobStorage.recordsDeleted,1714403406396000000,1714403466418000000,243
MappedFileStorage.totalBytesMapped,1714403406396000000,1714403466418000000,194248704
FilePageCacheLockFree.housekeeperTimeSpentMs,1714403406396000000,1714403466418000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1714403406396000000,1714403466418000000,5422
FilePageCacheLockFree.totalPagesAllocated,1714403406396000000,1714403466418000000,0
DirectByteBufferAllocator.reclaimed,1714403406396000000,1714403466418000000,3
MappedFileStorage.totalPagesMapped,1714403406396000000,1714403466418000000,14
MappedFileStorage.storages,1714403406396000000,1714403466418000000,13
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1714403406396000000,1714403466418000000,2885553
FilePageCacheLockFree.heapBytesInUse,1714403406396000000,1714403466418000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1714403406396000000,1714403466418000000,252731392
FilePageCacheLockFree.totalPagesHandedOver,1714403406396000000,1714403466418000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1714403406396000000,1714403466418000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1714403406396000000,1714403466418000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1714403406396000000,1714403466418000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1714403406396000000,1714403466418000000,0
FilePageCache.disposedBuffers,1714403406396000000,1714403466418000000,3
DirectByteBufferAllocator.disposed,1714403406396000000,1714403466418000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1714403406396000000,1714403466418000000,15823133
StorageLockContext.competingThreads.90P,1714403406396000000,1714403466418000000,0
FilePageCache.pageLoads,1714403406396000000,1714403466418000000,247
Indexes.entries.lookupDurationMaxMs,1714403466418000000,1714403526412000000,0.0
IndexesFlusher.totalFlushesRetried,1714403466418000000,1714403526412000000,0
IndexesFlusher.totalFlushingTimeUs,1714403466418000000,1714403526412000000,19645
IndexesFlusher.totalContentionQuotaSpent,1714403466418000000,1714403526412000000,0
Indexes.stubs.lookupDurationMaxMs,1714403466418000000,1714403526412000000,0.0
Indexes.stubs.lookupDuration90PMs,1714403466418000000,1714403526412000000,0.0
Indexes.stubs.lookups,1714403466418000000,1714403526412000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1714403466418000000,1714403526412000000,0.0
Indexes.stubs.lookupDurationAvgMs,1714403466418000000,1714403526412000000,0.0
